stepcount,cte_dataheaderid,createdon,companyid,cte_stepcountid
1132,295,2020-06-27 10:39:43.138175,,1014
1670,295,2020-06-27 10:39:43.138176,,1015
1721,295,2020-06-27 10:39:43.138178,,1016
0,299,2020-06-27 10:40:18.608593,,1017
101,299,2020-06-27 10:40:18.608601,,1018
122,299,2020-06-27 10:40:18.608603,,1019
294,299,2020-06-27 10:40:18.608605,,1020
828,299,2020-06-27 10:40:18.608607,,1021
1105,299,2020-06-27 10:40:18.608608,,1022
1154,299,2020-06-27 10:40:18.60861,,1023
1217,299,2020-06-27 10:40:18.608611,,1024
1244,299,2020-06-27 10:40:18.608612,,1025
211,303,2020-06-27 10:40:58.0065,,1026
211,303,2020-06-27 10:40:58.006506,,1027
333,303,2020-06-27 10:40:58.006508,,1028
749,303,2020-06-27 10:40:58.006509,,1029
963,303,2020-06-27 10:40:58.006511,,1030
78,305,2020-06-27 10:41:29.458329,,1031
253,309,2020-06-27 10:42:04.228424,,1032
470,309,2020-06-27 10:42:04.228432,,1033
856,309,2020-06-27 10:42:04.228488,,1034
914,309,2020-06-27 10:42:04.228491,,1035
1569,309,2020-06-27 10:42:04.228492,,1036
1905,309,2020-06-27 10:42:04.228494,,1037
1905,309,2020-06-27 10:42:04.228495,,1038
1905,309,2020-06-27 10:42:04.228497,,1039
1905,309,2020-06-27 10:42:04.228498,,1040
0,313,2020-06-27 10:42:39.136922,,1041
39,313,2020-06-27 10:42:39.136929,,1042
39,313,2020-06-27 10:42:39.136931,,1043
39,313,2020-06-27 10:42:39.136932,,1044
88,313,2020-06-27 10:42:39.136934,,1045
141,313,2020-06-27 10:42:39.136935,,1046
141,313,2020-06-27 10:42:39.136937,,1047
141,313,2020-06-27 10:42:39.136938,,1048
141,313,2020-06-27 10:42:39.13694,,1049
0,315,2020-06-27 10:43:13.223505,,1050
45,315,2020-06-27 10:43:13.223512,,1051
0,319,2020-06-27 10:43:48.110526,,1052
15,319,2020-06-27 10:43:48.110534,,1053
37,319,2020-06-27 10:43:48.110536,,1054
160,319,2020-06-27 10:43:48.110537,,1055
160,319,2020-06-27 10:43:48.110539,,1056
160,319,2020-06-27 10:43:48.11054,,1057
203,319,2020-06-27 10:43:48.110541,,1058
203,319,2020-06-27 10:43:48.110543,,1059
203,319,2020-06-27 10:43:48.110544,,1060
0,320,2020-06-27 10:44:11.647955,,1061
0,324,2020-06-27 10:44:46.95468,,1062
0,324,2020-06-27 10:44:46.954686,,1063
38,324,2020-06-27 10:44:46.954688,,1064
38,324,2020-06-27 10:44:46.954689,,1065
88,324,2020-06-27 10:44:46.954691,,1066
174,324,2020-06-27 10:44:46.954692,,1067
174,324,2020-06-27 10:44:46.954694,,1068
214,324,2020-06-27 10:44:46.954695,,1069
214,324,2020-06-27 10:44:46.954696,,1070
0,328,2020-06-27 10:45:32.882847,,1071
61,328,2020-06-27 10:45:32.882855,,1072
61,328,2020-06-27 10:45:32.882856,,1073
106,328,2020-06-27 10:45:32.882858,,1074
106,328,2020-06-27 10:45:32.882859,,1075
146,328,2020-06-27 10:45:32.88286,,1076
185,328,2020-06-27 10:45:32.882862,,1077
